date,cases,active,death
2020-03-05,4,0,0
2020-03-07,5,0,0
2020-03-08,7,0,0
2020-03-09,8,0,0
2020-03-10,9,0,0
2020-03-11,12,0,0
2020-03-12,16,0,0
2020-03-13,19,0,0
2020-03-14,30,0,0
2020-03-15,32,0,1.0001
2020-03-16,39,0,1.0002
2020-03-17,50,0,1.0003
2020-03-18,58,0,1.0004
2020-03-19,73,0,1.0005
2020-03-20,85,0,4.000
2020-03-21,103,0,4.0001
2020-03-22,131,0,6
2020-03-23,167,0,8
2020-03-24,187,0,8.0001
2020-03-25,226,0,10
2020-03-26,261,0,10.0001
2020-03-27,300,0,10.0002
2020-03-28,343,0,11
2020-03-29,408,0,13
2020-03-30,447,0,15
2020-03-31,492,0,16
2020-04-01,525,0,20
2020-04-02,585,0,21
2020-04-03,623,0,26
2020-04-04,678,0,32
2020-04-05,733,0,34
2020-04-06,744,0,38
2020-04-07,817,699,47
2020-04-08,895,743,58
2020-04-09,980,818,66
2020-04-10,1190,1001,77
2020-04-11,1310,1110,85
2020-04-12,1410,1193,99
2020-04-13,1458,1229,106
2020-04-14,1512,1268,122
2020-04-15,1579,1253,134
2020-04-16,1652,1311,142.0
2020-04-17,1763,1400,156.0
2020-04-18,1834,1431,172.0
2020-04-19,1916,1477,189.0
2020-04-20,1984,1518,199.0
2020-04-21,2098,1598,213.0
2020-04-22,2168,1648,225.0
2020-04-23,2284,1655,239.0
2020-04-24,2383,1732,250.0
2020-04-25,2443,1723,262.0
2020-04-26,2583,1805,280.0
2020-04-27,2649,1842,291.0
2020-04-28,2727,1891,300.0
2020-04-29,2775,1882,312.0
2020-04-30,2863,1931,323.0
2020-05-01,2942,1982,335.0
2020-05-02,2998,2029,340.0
2020-05-03,3035,2054,351.0
2020-05-04,3065,1993,363.0
2020-05-05,3111,1979,373.0
2020-05-06,3150,1966,383.0
2020-05-07,3178,1921,392.0
2020-05-08,3213,1904,405.0
2020-05-09,3263,1917,413.0
2020-05-10,3284,1905,421.0
2020-05-11,3313,1881,425.0
2020-05-12,3341,1809,430.0
2020-05-13,3380,1775,436.0
2020-05-14,3417,1688,442.0
2020-05-15,3473,1654,448.0
2020-05-16,3509,1662,451.0
